ID Pregunta,Código,ID Competencia,Competencia,Prerrequisitos,Módulo,Tipo de Evaluación,Concepto,Tipo de ejercicio,Puntaje,Nivel,Instrucción,Descripción,Respuesta,Ponderación,Respuesta,Ponderación,Respuesta,Ponderación,Respuesta,Ponderación,Feedback,Recurso - Nombre,Recurso - URL,Idioma,Recurso - Nombre,Recurso - URL,Idioma,Recurso - Nombre,Recurso - URL,Idioma,Instrucciones del módulo
DXSJ_1,XSEJ_0110,DC0_1,Operaciones físicas de tecnologías digitales.,null,Operaciones de hardware y software.,Pre-assessment,Hardware,Verdadero o Falso,5,0,Lee la siguiente oración y selecciona verdadero o falso según sea el caso.,"**Hardware** es una secuencia de instrucciones que son interpretadas y/o ejecutadas para la gestión, redireccionamiento o modificación de un dato/información o suceso.",FALSO,1,VERDADERO,0,null,0,null,0,Identificas las partes físicas de una computadora,Hardware overview,https://thincrs-one.udemy.com/course/computers/learn/lecture/501688#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_2,XSEJ_0120,DC0_1,Operaciones físicas de tecnologías digitales.,null,Operaciones de hardware y software.,Pre-assessment,Hardware,Relación de columnas,5,0,Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.,"&space Tiene la tarea de interpretar y ejecutar las instrucciones recibidas del sistema operativo, además de administrar las peticiones realizadas por los usuarios a través de los programas.",CPU,1,RAM,0,null,0,null,0,Identificas las partes físicas encargadas de la lógica de una computadora,CPU terminology,https://thincrs-one.udemy.com/course/computers/learn/lecture/501734#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_2,XSEJ_0130,DC0_1,Operaciones físicas de tecnologías digitales.,null,Operaciones de hardware y software.,Pre-assessment,Hardware,Relación de columnas,5,0,Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.,"&space Dispositivo encargado de resguardar información y en el que se encuentra el sistema operativo. Cuenta con la característica de que no pierde la información contenida, aunque se desconecte de la alimentación.",Disco duro,1,Chipset,0,null,0,null,0,Identificas las partes físicas encargadas de almacenar información en una computadora,Computer storage,https://thincrs-one.udemy.com/course/computers/learn/lecture/501788#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_3,XSEJ_0140,DC0_1,Operaciones físicas de tecnologías digitales.,null,Operaciones de hardware y software.,Pre-assessment,Hardware,Opción múltiple con checkbox,5,0,Lee la siguiente oración y selecciona las dos opciones correctas.,Las computadoras cuentan con dos tipos de dispositivos que interactúan con el usuario de distinta manera: los dispositivos de entrada y salida. Selecciona los dispositivos de salida.,Pantalla,0.5,Puerto USB,0,null,0,null,0,Identificas los dispositivos de salida,I/O devices,https://thincrs-one.udemy.com/course/computers/learn/lecture/501702#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_3,XSEJ_0150,DC0_1,Operaciones físicas de tecnologías digitales.,null,Operaciones de hardware y software.,Pre-assessment,Hardware,Opción múltiple con checkbox,5,0,Lee la siguiente oración y selecciona las dos opciones correctas.,Las computadoras cuentan con dos tipos de dispositivos que interactúan con el usuario de distinta manera: los dispositivos de entrada y salida. Selecciona los dispositivos de salida.,Bocinas,0.5,Mousepad,0,null,0,null,0,Identificas los dispositivos de entrada,Categorizing hardware,https://thincrs-one.udemy.com/course/computers/learn/lecture/501704#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_4,XSEJ_0210,DC0_2,Operaciones con software,null,Operaciones de hardware y software.,Pre-assessment,Software,Drag and drop text,5,0,Completa los espacios en blanco del siguiente párrafo con las opciones que se presentan en la lista. ,"En tu trabajo, tienes que realizar un reporte de desempeño en el último trimestre, por lo que utilizas &space para redactar el reporte y &space para gestionar los datos y crear gráficos a partir de ellos. Además, utilizas &space para presentar los resultados ante la junta directiva.",Google Docs,1,Google Sites,0,null,0,null,0,Identificas software para la creación de documentos,Document setup,https://thincrs-one.udemy.com/course/google-office-productivity/learn/lecture/6128794#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_4,XSEJ_0220,DC0_2,Operaciones con software,null,Operaciones de hardware y software.,Pre-assessment,Software,Drag and drop text,5,0,Completa los espacios en blanco del siguiente párrafo con las opciones que se presentan en la lista. ,"En tu trabajo, tienes que realizar un reporte de desempeño en el último trimestre, por lo que utilizas &space para redactar el reporte y &space para gestionar los datos y crear gráficos a partir de ellos. Además, utilizas &space para presentar los resultados ante la junta directiva.",Google Sheets,1,Google Forms,0,null,0,null,0,Identificas software para la creación de hojas de cálculo,Document setup and history,https://thincrs-one.udemy.com/course/google-office-productivity/learn/lecture/6128824#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_4,XSEJ_0230,DC0_2,Operaciones con software,null,Operaciones de hardware y software.,Pre-assessment,Software,Drag and drop text,5,0,Completa los espacios en blanco del siguiente párrafo con las opciones que se presentan en la lista. ,"En tu trabajo, tienes que realizar un reporte de desempeño en el último trimestre, por lo que utilizas &space para redactar el reporte y &space para gestionar los datos y crear gráficos a partir de ellos. Además, utilizas &space para presentar los resultados ante la junta directiva.",Google Slides,1,Google Meet,0,null,0,null,0,Identificas software para la creación de diapositivas,Document Setup and History,https://thincrs-one.udemy.com/course/google-office-productivity/learn/lecture/6128862#overview,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_5,XSEJ_1110,DC1_1,"Navegar, buscar y filtrar datos, información y contenido digital",null,Gestión de Información,Pre-assessment,"Información, datos y sus fuentes",Relación de columnas,5,0,Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.,"&space Navegar a través de documentos electrónicos utilizando diversas herramientas para encontrar información, datos o contenido digital.",Búsqueda,1,Filtración,0,null,0,null,0,Realizar búsqueda en línea a través de motores de búsqueda.,"Navegadores, elementos básicos y aprender a usarlos (Browsers, basic elements and learn how to use them)",https://thincrs-one.udemy.com/course/computacion-basica-desde-cero-hasta-redes-sociales/learn/lecture/1707982?start=310,Español,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
DXSJ_5,XSEJ_1210,DC1_2,"Evaluar datos, información y contenido digital",DC1_1,Gestión de Información,Pre-assessment,"Información, datos y sus fuentes",Relación de columnas,5,0,Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.,"&space Analizar la credibilidad y la fiabilidad de las fuentes de datos, información y contenido digital.",Evaluación,1,Análisis,0,null,0,null,0,Disociar la información que encuentras.,Social media (Medios sociales),https://thincrs-one.udemy.com/1m-cyber-security-awareness/learn/lecture/13028838#?start=26,Inglés,null,0,0,null,0,0,"En este cuestionario, probarás tus habilidades digitalés básicas para ciudadanos."
